SECCODE,DATE,OBPLOTNO,BUYSELLOBP,TRADESNOTRADES,BUYSELLYIELD,OBPTDVOLRATIO,MINMAXRATIO,GROUP
LKOH,2007-10-08,5243,S,TRUE,0.0859680519567239,4.914143423874e-4,2175.11,4
LKOH,2007-10-08,5265,S,TRUE,-56.20495199530464,0.0042925526342272,2175,1
LKOH,2007-10-08,5341,S,TRUE,-0.6982691351972881,0.0173338360633972,2175.8,4
LKOH,2007-10-08,5451,S,TRUE,-6.198134037216793,0.0067020726660039,2173.8,4
LKOH,2007-10-08,5500,S,TRUE,0.0931840741850699,0.0126906100841202,2172.9,4
LKOH,2007-10-08,5513,S,TRUE,-7.883133628853325,0.0031402946917669,2186,4
LKOH,2007-10-08,5664,B,TRUE,-0.0580113168108609,0.0019821557101691,2171.99,4
LKOH,2007-10-08,5712,S,TRUE,4.604072762866e-4,0.0081040867205629,2171.99,4
LKOH,2007-10-08,5745,B,TRUE,0.1018657896282082,0.0018238060407649,2152.16,0
LKOH,2007-10-08,5764,S,TRUE,-100,0.0118406551922278,2170.99,1
LKOH,2007-10-08,5854,B,TRUE,1.7221032736606512,0.0101096188313032,2172,4
LKOH,2007-10-08,5873,B,TRUE,8.133012571523e-4,0.0239933628344742,2169,4
LKOH,2007-10-08,5875,B,TRUE,4.25015603147858,0.0022431760996405,2168.4,4
LKOH,2007-10-08,5919,B,TRUE,4.610398292409e-4,0.0306515820393276,2169.01,4
LKOH,2007-10-08,5924,B,TRUE,9.245904064491e-4,0.019849585298097,2163.12,0
LKOH,2007-10-08,5955,B,TRUE,100,0.0112916376092063,2169.22,3
LKOH,2007-10-08,5988,B,TRUE,27.414652362185343,3.111399243725e-4,2152.88,0
LKOH,2007-10-08,6040,B,TRUE,0,0.0373229773276367,2169,4
LKOH,2007-10-08,6061,B,TRUE,15.57748942249678,0.0081444932026993,2169.33,4
LKOH,2007-10-08,6065,B,TRUE,0.00461020699829,0.0679578463171246,2169.1,4
LKOH,2007-10-08,6135,B,TRUE,0.0104123166765371,0.0114424830533612,2169.5,4
LKOH,2007-10-08,6158,B,TRUE,9.219861425474e-4,0.0131869838430501,2169.23,4
LKOH,2007-10-08,6169,B,TRUE,-0.0069124423963175,0.0103839057953723,2170,4
LKOH,2007-10-08,6200,B,TRUE,-0.0469523744282099,0.0026048458067197,2170.5,4
LKOH,2007-10-08,6257,S,TRUE,-100,0.0068629992667266,2172.8,1
LKOH,2007-10-08,6259,B,TRUE,0.0023037758886689,0.0046027443695,2170.35,4
LKOH,2007-10-08,6288,B,TRUE,0.0027644546422079,0.0047979880150871,2170.41,4
LKOH,2007-10-08,6359,S,TRUE,0.0269367544582512,0.0055891765858887,2171.9,4
LKOH,2007-10-08,6411,B,TRUE,0.0058298197938239,0.0060961930283128,2170.68,4
LKOH,2007-10-08,6425,S,TRUE,-18.733553440023403,0.0041134390559234,2172.54,4
LKOH,2007-10-08,6447,S,TRUE,-5.454582801978287,0.0032236991079095,2171,4
LKOH,2007-10-08,6551,B,TRUE,12.188162415312403,0.0063197562838206,2171,4
LKOH,2007-10-08,6671,B,TRUE,0.002304094375714,0.0162604070257869,2170.05,4
LKOH,2007-10-08,6712,S,TRUE,-4.315050016859615,0.0054502943912753,2170,4
LKOH,2007-10-08,6812,S,TRUE,0.2424750119782409,0.0053757602349332,2172.9,4
LKOH,2007-10-08,6871,S,TRUE,-11.668439233034174,0.0097432638108511,2170.21,4
LKOH,2007-10-08,6880,S,TRUE,-100,3.031614312348e-4,2170.99,1
LKOH,2007-10-08,6894,S,TRUE,-9.13433206036105,0.0030658544146337,2169.95,4
LKOH,2007-10-08,6966,S,TRUE,-0.0799844707366971,0.0158954439782866,2171.32,4
LKOH,2007-10-08,6989,S,TRUE,4.608316167456e-4,0.0031798179284651,2169.99,4
LKOH,2007-10-08,7023,S,TRUE,0.0230520977408944,3.3121745216782526e-5,2169,4
LKOH,2007-10-08,7077,B,TRUE,0.023057412958266,0.0098765444847844,2168.5,4
