SECCODE,DATE,OBPLOTNO,BUYSELLOBP,TRADESNOTRADES,BUYSELLYIELD,OBPTDVOLRATIO,MINMAXRATIO
LKOH,2007-10-08,9071,B,TRUE,-0.00890135210411931,9.518712538904e-4,2170
LKOH,2007-10-08,9082,B,TRUE,0.13873908754850167,6.5055987051972e-4,2169.54
LKOH,2007-10-08,9160,B,TRUE,0.0023036803597511,0.01608712555906747,2170.44
LKOH,2007-10-08,9284,B,TRUE,0.05158627805003367,0.00274607604157871,2171.12
LKOH,2007-10-08,9317,S,TRUE,0,0.04749192372330305,2172.2
LKOH,2007-10-08,9373,S,TRUE,0.00627690285153971,0.02852758299952532,2172
LKOH,2007-10-08,9376,B,TRUE,0.00230197279068998,0.00187333336309188,2172.05
LKOH,2007-10-08,9410,S,TRUE,0.0050644800390484,0.04841870298632136,2171.99
LKOH,2007-10-08,9425,S,TRUE,-100,0.01774729521761015,2171.98
LKOH,2007-10-08,9503,B,TRUE,0.01889392214783845,0.00406138591305693,2170.01
LKOH,2007-10-08,9557,S,TRUE,0.00460447555023064,0.00427161355426061,2171.8
LKOH,2007-10-08,9576,S,TRUE,8.038692800221617e-6,0.00191700891292318,2171.01
LKOH,2007-10-08,9624,S,TRUE,0.00506522630050271,0.01419791504325254,2171.67
LKOH,2007-10-08,9688,S,TRUE,7.9851086595841e-4,9.6171204415218e-4,2170
LKOH,2007-10-08,9694,S,TRUE,-100,0.01362206541267019,2170.95
LKOH,2007-10-08,9728,B,TRUE,0.00167553671153011,0.00589013040634679,2170.5
LKOH,2007-10-08,9735,S,TRUE,-83.32972272028196,0.012231199480113,2169.53
LKOH,2007-10-08,9792,S,TRUE,-0.9844348404363942,0.00312081530958813,2168.88
LKOH,2007-10-08,9824,S,TRUE,-91.78530875314442,0.0025246557009344,2168
LKOH,2007-10-08,9844,S,TRUE,0.0447617245723317,0.00559310385940249,2167.03
LKOH,2007-10-08,9933,B,TRUE,9.150307219610964,0.04250078699885837,2163.67
LKOH,2007-10-08,9937,B,TRUE,0.00554985154146621,0.01638590066408965,2162.22
LKOH,2007-10-08,9953,B,TRUE,0.29894410887688444,0.00834660131861244,2162.31
LKOH,2007-10-08,9987,B,TRUE,0.39705964306583075,0.00105977963610596,2164.41
LKOH,2007-10-08,10002,B,TRUE,12.53507194660282,0.03142937068015134,2163.5
LKOH,2007-10-08,10035,B,TRUE,100,0.02632568821439927,2163.56
LKOH,2007-10-08,10064,B,TRUE,100,0.0100877297081906,2164.81
LKOH,2007-10-08,10125,B,TRUE,0.04630075407048794,0.00449473293618011,2165.02
LKOH,2007-10-08,10188,B,TRUE,55.55792671179833,0.01307090374126447,2165.5
LKOH,2007-10-08,10200,S,TRUE,0.10559239488476686,4.0613658244888e-4,2165.56
LKOH,2007-10-08,10224,S,TRUE,7.4498994263577e-4,0.00184885147016315,2165
LKOH,2007-10-08,10229,B,TRUE,2.2567194835813735,0.00447223840411001,2165.5
LKOH,2007-10-08,10251,B,TRUE,100,9.524421603616e-4,2164.41
LKOH,2007-10-08,10262,S,TRUE,-1.6177973039728475,0.00374865033425151,2169.98
LKOH,2007-10-08,10280,B,TRUE,0.23590447430312952,0.00218694553907635,2168
LKOH,2007-10-08,10304,S,TRUE,9.2379606278034e-4,1.3969090856942e-4,2164.98
LKOH,2007-10-08,10381,B,TRUE,0.01432810434557286,0.00191809781969448,2163.58
LKOH,2007-10-08,10392,B,TRUE,7.14810650055366,0.03328937879466585,2163.53
LKOH,2007-10-08,10406,S,TRUE,-100,0.00331664019439131,2164.8
LKOH,2007-10-08,10434,B,TRUE,0.00693304984863261,0.01011415339459163,2163.55
LKOH,2007-10-08,10445,S,TRUE,-100,0.00128022869383033,2164
LKOH,2007-10-08,10458,B,TRUE,2.662175191619438,0.00793990290517415,2169
LKOH,2007-10-08,10481,S,TRUE,-7.349224179495194,0.0150970818276458,2164.1
