,Unnamed: 0,DATE,SECCODE,OBPLOTNO,BUYSELLOBP,TRADESNOTRADES,BUYSELLYIELD,OBPTDVOLRATIO,MINMAXRATIO,GROUP
1669,16378,2007-10-08,LKOH,65290,S,T,-2.272709881180955,1.7370518464992196e-05,2178.0,4
1670,16381,2007-10-08,LKOH,65298,B,T,100.0,0.0005426384481323,2175.37,3
1671,16389,2007-10-08,LKOH,65324,B,T,100.0,0.001987961482868,2177.02,3
1672,16408,2007-10-08,LKOH,65404,S,T,0.3644133037639847,0.0028245135238268,2177.93,4
1673,16414,2007-10-08,LKOH,65421,S,T,0.0020721661596934,0.0014900138145012,2177.97,4
1674,16424,2007-10-08,LKOH,65464,B,T,0.3246796556221368,0.022898207283828,2177.21,4
1675,16451,2007-10-08,LKOH,65579,B,T,0.0,0.0011502611715698,2175.35,4
1676,16452,2007-10-08,LKOH,65582,S,T,0.0965122317764183,0.0006803269333472,2175.89,4
1677,16454,2007-10-08,LKOH,65592,B,T,44.44878591932008,0.0041574805228519,2175.4,4
1678,16455,2007-10-08,LKOH,65602,B,T,-0.0579993087879476,0.0006147884359294,2175.89,4
1679,16458,2007-10-08,LKOH,65621,S,T,-30.76581702743681,0.00018436318685,2176.31,4
1680,16501,2007-10-08,LKOH,65811,S,T,0.0002207106732499,0.0101064246504659,2175.99,4
1681,16517,2007-10-08,LKOH,65891,B,T,100.0,0.0456802940462382,2175.02,3
1682,16519,2007-10-08,LKOH,65896,S,T,-0.0028859419813907,0.0059890144971731,2174.3,4
1683,16523,2007-10-08,LKOH,65911,B,T,1.689484133825666,0.0013604677489146,2175.11,4
1684,16536,2007-10-08,LKOH,65976,S,T,-100.0,0.0006970087360197,2174.85,1
1685,16541,2007-10-08,LKOH,65993,S,T,0.0105752474837816,0.0525608932217642,2174.89,4
1686,16545,2007-10-08,LKOH,66005,B,T,0.0162664415754769,0.0290065763286914,2175.49,4
1687,16553,2007-10-08,LKOH,66043,B,T,0.0399999999999949,0.0196613282089871,2175.0,4
