,SECCODE,DATE,OBPLOTNO,BUYSELLOBP,TRADESNOTRADES,BUYSELLYIELD,OBPTDVOLRATIO,MINMAXRATIO
7566,LKOH,2007-10-08,29298,B,T,82.23816743570588,0.0037531869830593175,2156.61
7573,LKOH,2007-10-08,29330,S,T,0.003245548961410838,0.005924105188501985,2156.8
7576,LKOH,2007-10-08,29338,B,T,0.016234519226304978,0.008641576608956997,2155.9
7587,LKOH,2007-10-08,29378,S,T,0.0,0.00172558615164674,2156.0
7601,LKOH,2007-10-08,29435,B,T,-0.0028659977197991724,0.0005848310026625762,2156.19
7606,LKOH,2007-10-08,29447,B,T,0.0032473406599599977,0.00499627953106068,2155.61
7614,LKOH,2007-10-08,29472,S,T,-100.0,0.0008727494937506493,2156.1
7621,LKOH,2007-10-08,29494,B,T,0.024122094911164904,0.0015897711545047085,2155.7
7632,LKOH,2007-10-08,29519,B,T,0.020411760885501833,0.0006354517677712509,2155.62
7647,LKOH,2007-10-08,29570,B,T,0.016233766233762017,0.00022629769507904036,2156.0
7651,LKOH,2007-10-08,29585,B,T,0.0,0.0008288888732323004,2156.01
7682,LKOH,2007-10-08,29679,B,T,-0.00011081639546717354,0.0007677089081683486,2157.9
7699,LKOH,2007-10-08,29756,B,T,81.13469820238039,0.005448790427377131,2158.2
7746,LKOH,2007-10-08,29971,B,T,0.009908669717305117,0.001955792554572672,2160.6
7748,LKOH,2007-10-08,29977,S,T,-16.666666666666668,0.002419819014469557,2161.0
7751,LKOH,2007-10-08,29988,S,T,-23.26235696396452,0.008334402119303518,2161.01
7788,LKOH,2007-10-08,30163,B,T,0.0004627465860971619,0.018003673286076355,2161.01
7800,LKOH,2007-10-08,30195,B,T,0.0006860313534310328,0.003620661453077608,2161.55
7822,LKOH,2007-10-08,30254,S,T,-3.213195720875119,0.0014754246515718502,2161.95
7836,LKOH,2007-10-08,30310,S,T,0.0,0.0020522506709383156,2161.6
7848,LKOH,2007-10-08,30378,B,T,0.01850481125092945,0.00031684081587269957,2161.6
